,coefficient
intercept,-332.1607385706053
year,0.1929755923423725
month,-0.518885188933787
day,-0.06446844184078535
hour,0.14404843894781036
log_PM10_demean,50.75326237440619
log_SO2_demean,0.5427248242522262
log_NO2_demean,6.078556335042091
log_CO_demean,16.26096098782477
log_O3_demean,6.220840209175724
TEMP_demean,-2.4384658142587226
log_PRES_demean,73.73768195158979
DEWP_demean,2.4193850496396543
log_RAIN_demean,-27.072736028541886
log_WSPM_demean,3.0426296339240904
station_Changping,7.158392792479796
station_Dingling,13.573824026091897
station_Dongsi,0.8489301694301105
station_Guanyuan,-1.2678070339961254
station_Gucheng,4.512493118467837
station_Huairou,2.5223971778976626
station_Nongzhanguan,-0.5331973953240766
station_Shunyi,4.181850076223019
station_Tiantan,2.061235366695637
station_Wanliu,-0.4344508835341281
station_Wanshouxigong,1.9842073969728082
wd_ENE,0.5026656715986307
wd_ESE,-1.5086330683916747
wd_N,1.4583732257478568
wd_NE,1.5399039731561748
wd_NNE,-0.33878477137193047
wd_NNW,1.0392251310834457
wd_NW,-0.5390745048628475
wd_S,0.5221494089813212
wd_SE,-2.727919807234784
wd_SSE,-1.6376368812514561
wd_SSW,0.9454322482352624
wd_SW,3.703973149277354
wd_W,-0.22066715703357884
wd_WNW,-1.4726391314245473
wd_WSW,4.372282035814805
log_CO_demean_x_TEMP_demean,-0.42904721207806795
log_PM10_demean_x_wd_NE,-4.718449505954968
log_PM10_demean_x_wd_ENE,-2.230944790911362
log_CO_demean_x_wd_NE,1.5096252546258524
log_CO_demean_x_wd_ENE,-0.04418299677211389
log_PM10_demean_x_log_CO_demean,26.40772711130738
log_SO2_demean_x_log_CO_demean,-7.788945134061807
log_PM10_demean_x_TEMP_demean,-1.281250737026116
log_CO_demean_x_station_Nongzhanguan,-1.7510070177047021
log_PM10_demean_x_station_Nongzhanguan,2.079311516161318
log_NO2_demean_x_TEMP_demean,-0.049223465134691946
log_PM10_demean_x_station_Dongsi,-3.4612251393031706
log_CO_demean_x_log_O3_demean,3.1394490429119193
log_CO_demean_x_station_Wanshouxigong,3.679659646657367
log_PM10_demean_x_station_Wanliu,-3.5721708220965938
log_CO_demean_x_station_Dongsi,-0.2033907179432196
log_PM10_demean_x_station_Wanshouxigong,-6.196971710283905
log_PM10_demean_x_log_SO2_demean,6.0541972591065365
log_O3_demean_x_TEMP_demean,0.3850299963682213
log_PM10_demean_x_station_Shunyi,7.71707673292696
log_PM10_demean_x_station_Guanyuan,0.5906463703156845
log_PM10_demean_x_station_Tiantan,1.9116444653453892
log_CO_demean_x_station_Tiantan,-1.1925351748918047
log_CO_demean_x_station_Wanliu,2.769446068699745
log_CO_demean_x_DEWP_demean,1.0082796442946045
log_NO2_demean_x_wd_NE,0.8756198483514397
log_SO2_demean_x_TEMP_demean,0.09254751472808447
log_PM10_demean_x_wd_N,-4.604927435359193
log_CO_demean_x_station_Guanyuan,-0.9184526187264295
log_CO_demean_x_wd_N,4.740059715026855
log_PM10_demean_x_station_Dingling,7.528922844014254
log_PM10_demean_x_wd_ESE,0.44829411487604004
log_PM10_demean_x_station_Gucheng,1.1682115151792145
log_NO2_demean_x_wd_ENE,2.1157529212466977
log_CO_demean_x_log_PRES_demean,490.08218416912047
log_CO_demean_x_station_Shunyi,-1.0961864141699966
log_PM10_demean_x_station_Changping,3.1070275696383476
log_CO_demean_x_station_Gucheng,0.6838871967784497
log_PM10_demean_x_wd_NNE,-5.826268257014923
log_PM10_demean_x_station_Huairou,4.788787066750843
log_CO_demean_x_station_Dingling,6.769543805180312
log_SO2_demean_x_log_NO2_demean,5.612777691944253
log_CO_demean_x_station_Changping,-1.9914028684535898
log_CO_demean_x_station_Huairou,2.6686903928046135
log_CO_demean_x_wd_NW,5.354686537934212
log_CO_demean_x_wd_NNE,0.7680568314021177
DEWP_demean_x_log_WSPM_demean,-0.7345824423236624
log_NO2_demean_x_DEWP_demean,-0.11814381092547378
log_SO2_demean_x_wd_NE,2.752137393018581
log_PM10_demean_x_log_PRES_demean,-298.69580154591665
log_CO_demean_x_wd_ESE,-0.28858196213097215
log_NO2_demean_x_station_Nongzhanguan,2.5527117660275445
log_PM10_demean_x_wd_NW,-3.6936482296689856
log_CO_demean_x_wd_WNW,4.907012201576498
log_NO2_demean_x_station_Wanshouxigong,7.108605700524328
log_PM10_demean_x_log_O3_demean,0.6986481859276437
log_NO2_demean_x_station_Dongsi,1.3320003590515554
log_NO2_demean_x_station_Gucheng,-0.6504473891130423
log_SO2_demean_x_station_Dongsi,7.701490284479374
log_PM10_demean_x_wd_WNW,-5.328711204504263
log_SO2_demean_x_station_Nongzhanguan,0.5544521366322777
log_SO2_demean_x_wd_ENE,1.1743913724333541
log_CO_demean_x_wd_NNW,1.5922764685959103
log_PM10_demean_x_wd_NNW,-2.3291816467444986
log_O3_demean_x_log_PRES_demean,125.34333646423018
log_NO2_demean_x_wd_N,0.046693094017975764
log_O3_demean_x_DEWP_demean,-0.35765898971373067
log_NO2_demean_x_log_PRES_demean,317.18662939794757
log_NO2_demean_x_station_Guanyuan,3.4351409661238756
log_PM10_demean_x_wd_SE,-0.6710580440478089
log_NO2_demean_x_station_Dingling,4.540703642572168
log_NO2_demean_x_station_Wanliu,1.0037658861313854
log_NO2_demean_x_station_Shunyi,-0.08128400512290085
log_NO2_demean_x_station_Tiantan,4.460649989802089
log_NO2_demean_x_wd_NW,-2.5037917129365814
log_SO2_demean_x_DEWP_demean,-0.2977026766566656
log_CO_demean_x_wd_W,4.4375892121071665
log_PM10_demean_x_wd_W,-7.3831982137120375
log_NO2_demean_x_log_CO_demean,1.2748808046424132
log_NO2_demean_x_station_Changping,5.161028423946199
log_NO2_demean_x_wd_NNE,0.6529049941841765
log_SO2_demean_x_station_Wanshouxigong,0.5092256574944891
log_SO2_demean_x_station_Wanliu,2.739420491364579
log_CO_demean_x_wd_SW,6.752862844157009
log_NO2_demean_x_wd_WNW,-2.434609317955143
log_PRES_demean_x_DEWP_demean,-14.243334813000862
log_CO_demean_x_wd_WSW,6.315212279381275
log_PM10_demean_x_wd_SSE,0.09716125436051551
TEMP_demean_x_log_WSPM_demean,0.6802594164481252
log_CO_demean_x_wd_SE,-1.1874103896307586
log_SO2_demean_x_station_Guanyuan,-0.5889431853293897
log_NO2_demean_x_log_O3_demean,0.7245847022960945
log_PM10_demean_x_wd_WSW,-8.05626039239779
log_NO2_demean_x_station_Huairou,4.454510696067043
log_PM10_demean_x_wd_SW,-8.657397858056012
log_NO2_demean_x_wd_NNW,-0.614637943066957
log_NO2_demean_x_wd_ESE,-2.1025127263444876
log_PM10_demean_x_wd_S,-6.900054528367491
log_PM10_demean_x_wd_SSW,-6.796308187330672
log_PRES_demean_x_log_WSPM_demean,-281.7127000732873
log_SO2_demean_x_station_Dingling,2.417786460462493
log_CO_demean_x_wd_SSE,-0.3309219218532481
log_CO_demean_x_wd_S,4.091365670526333
