,gain_importance
log_PM10_demean,0.22178853
log_PM10_demean_x_log_RAIN_demean,0.14507796
log_PM10_demean_x_log_CO_demean,0.073339455
log_RAIN_demean,0.06927618
log_CO_demean,0.05677097
log_CO_demean_x_log_RAIN_demean,0.029398099
station_Gucheng,0.016261738
log_PM10_demean_x_log_NO2_demean,0.014327723
log_WSPM_demean,0.009611863
log_PM10_demean_x_station_Dingling,0.007556209
log_CO_demean_x_station_Dingling,0.0061222175
DEWP_demean_x_log_RAIN_demean,0.0055574183
month,0.005555888
log_PM10_demean_x_TEMP_demean,0.0051827366
log_WSPM_demean_x_station_Dingling,0.00493289
station_Wanshouxigong,0.0046651247
log_CO_demean_x_DEWP_demean,0.0044970606
log_RAIN_demean_x_log_WSPM_demean,0.0044561317
log_RAIN_demean_x_station_Gucheng,0.0043943957
log_SO2_demean_x_station_Nongzhanguan,0.0039252113
log_PM10_demean_x_log_WSPM_demean,0.003882193
TEMP_demean_x_station_Gucheng,0.0037582638
DEWP_demean,0.003714722
station_Dingling,0.0036439407
DEWP_demean_x_station_Wanshouxigong,0.003486112
log_PRES_demean_x_station_Gucheng,0.0033843978
log_RAIN_demean_x_station_Wanshouxigong,0.0033408154
log_NO2_demean,0.0032851526
log_CO_demean_x_log_O3_demean,0.0032335394
log_PM10_demean_x_DEWP_demean,0.0031350427
log_NO2_demean_x_TEMP_demean,0.0031075415
TEMP_demean,0.0029210565
log_PM10_demean_x_station_Wanshouxigong,0.00287993
log_SO2_demean_x_TEMP_demean,0.002865498
DEWP_demean_x_station_Wanliu,0.0028537605
log_CO_demean_x_station_Wanshouxigong,0.0028320053
log_WSPM_demean_x_station_Nongzhanguan,0.0027872485
log_PRES_demean_x_station_Wanshouxigong,0.0027675694
log_RAIN_demean_x_station_Huairou,0.0027499185
log_SO2_demean_x_station_Dongsi,0.0026649293
log_NO2_demean_x_station_Gucheng,0.0026563231
log_RAIN_demean_x_station_Dingling,0.002628352
log_CO_demean_x_TEMP_demean,0.0026184858
station_Huairou,0.0025305892
day,0.0024136556
log_PM10_demean_x_station_Changping,0.0023321453
log_PM10_demean_x_log_SO2_demean,0.0023121554
log_NO2_demean_x_log_O3_demean,0.0023119075
log_SO2_demean_x_log_CO_demean,0.0022574118
year,0.0022375416
