,0
PM10_i_o0,10901470046.82727
PM10_i_o-1,2607345960.8095703
raw_PM10,1917678337.6513672
net_CO_i,1533349828.8255615
net_PM10_i,1052026763.3786621
PM10_i_o1,467461889.529541
CO_i_o0,404367544.9625244
PM10_i_rm6,275885419.87609863
CO_i_o-1,234326583.15881348
raw_CO,220476020.71118164
CO_i_rm6,141034186.9506836
dewp_depress_net,138380219.00561523
CO_i_rm24,113155219.76574707
doy_cos,102186674.61706543
PM10_i_o-2,95647332.04760742
doy_sin,91070959.33007812
CO_i_o1,87336517.1739502
CO_i_o-2,59712752.70422363
DEWP_i_rs12,55323132.2154541
station,54822544.57739258
CO_i_rm12,51448079.689208984
dewp_depress,45877371.06530762
TEMP_i_rm24,43932306.05371094
PM10_i_d1,39341959.201538086
rh_proxy,37230716.982788086
DEWP_i_rm12,34978409.451416016
net_SO2_i,32045370.880371094
PM10_i_rm24,31263132.301757812
DEWP_i_o-4,26674898.880859375
NO2_over_CO,25049397.658935547
month,24237953.30895996
DEWP_i_o-3,24087597.868408203
TEMP_i_vs_rm24,23511052.47607422
net_NO2_i,23380614.029296875
net_DEWP_i,22932769.670288086
PM10_i_rm12,20032144.861328125
TEMP_i_rmax12,19845377.016723633
DEWP_i_rm24,19610703.55505371
anom_PM10_i,19450383.26501465
net_O3_i,18902578.717773438
DEWP_i_o-2,18296225.978393555
PM10_over_CO,18101740.802856445
DEWP_i_rm6,17913293.82836914
raw_SO2,17209036.974975586
net_PM10_std,15176751.700073242
WSPM_i_rm24,15048606.225708008
DEWP_i_o-1,14776686.919433594
SO2_i_rm24,14229005.523925781
PRES_i_d3,13688425.672363281
ratio_PM10_i,13615591.877563477
DEWP_i_vs_rm24,13422902.94128418
PM10_i_vs_rm24,12650645.013305664
TEMP_i_rm12,12257605.771240234
net_PRES_i,12076581.864379883
DEWP_i_d3,11941843.311035156
raw_DEWP,11515087.970336914
DEWP_i_rmax12,11300788.923217773
SO2_i_o0,11283293.198120117
O3_i_rmax12,10407758.21862793
PM10_i_rmax12,10316199.260864258
PM10_i_d3,10125878.184692383
PM10_i_rs12,9594151.637817383
PRES_i_o-4,9398966.337280273
raw_O3,9384609.565063477
O3_i_rm24,8979939.602416992
CO_i_o-4,8900759.323852539
O3_i_d3,8788379.978759766
SO2_i_rmax12,8704930.213867188
SO2_i_rm12,8456297.639892578
PM10_i_dfwd,8091148.951171875
anom_CO_i,8068839.4892578125
SO2_over_NO2,7727025.385375977
PRES_i_dfwd,7715956.713989258
PM10_i_o2,7709877.338989258
net_DEWP_i_d1,7499709.557739258
dow,7338494.566650391
PRES_i_d1,7293484.061279297
WSPM_i_rmax12,7269273.080932617
DEWP_i_o2,7097499.602294922
O3_i_vs_rm24,7020037.14074707
net_CO_std,6898495.134277344
PM10_i_o-3,6796814.898193359
O3_i_o2,6565557.400268555
ratio_CO_i,6477623.060302734
net_O3_i_d1,6428172.82019043
NO2_i_rmax12,6126454.098266602
DEWP_i_o0,5881209.703735352
CO_i_rmax12,5863196.803344727
wv_i_o-2,5854462.66784668
TEMP_i_o2,5804668.4365234375
TEMP_i_o-4,5704200.274902344
raw_TEMP,5650774.715698242
net_PM10_i_d1,5578589.859008789
net_TEMP_i,5542264.923950195
NO2_i_rm24,5431508.223022461
TEMP_i_rs12,5414305.017456055
raw_PRES,5403104.189331055
hour,5375378.948120117
net_WSPM_i,5366245.769042969
TEMP_i_o1,5344206.0224609375
PRES_i_o-3,5189237.361938477
SO2_i_vs_rm24,5159811.528808594
SO2_i_rm6,5109829.062011719
TEMP_i_d3,4891457.224975586
SO2_i_o1,4849824.989746094
O3_over_NO2,4807982.379638672
CO_i_dfwd,4659804.710449219
wd_t,4650541.990722656
WSPM_i_rm6,4560771.29675293
ratio_NO2_i,4479011.686889648
CO_i_d3,4427658.440795898
net_PRES_i_d1,4395269.839599609
O3_i_rs12,4382342.55847168
NO2_i_o0,4276264.404052734
WSPM_i_rm12,4247132.513183594
SO2_i_o2,4181826.0297851562
O3_i_o-1,4154249.4716796875
O3_i_o1,4072289.7001953125
CO_i_rs12,4070450.5178222656
CO_i_vs_rm24,3853803.7923583984
SO2_i_o-1,3851455.9155273438
SO2_i_rs12,3807452.1755371094
O3_i_rm12,3776627.0302734375
wd_h,3773237.3240966797
anom_NO2_i,3747105.5975341797
CO_i_o-3,3669776.966064453
SO2_i_dfwd,3650185.9919433594
PRES_i_o2,3632510.2094726562
raw_NO2,3626920.7935791016
WSPM_i_rs12,3603001.838623047
TEMP_i_o0,3502968.4986572266
PRES_i_o-2,3442496.518676758
DEWP_i_o1,3427332.3182373047
O3_i_rm6,3419503.366455078
TEMP_i_o-1,3408832.019897461
SO2_i_d3,3348770.867919922
wv_i_o-1,3316616.626586914
PRES_i_o-1,3316438.375732422
SO2_i_o-4,3145924.1634521484
NO2_i_vs_rm24,3132851.0279541016
DEWP_i_d1,3046929.6842041016
O3_i_o0,3019978.4459228516
net_TEMP_i_d1,2977012.2072753906
PM10_i_o-4,2949092.5170898438
net_CO_i_d1,2942066.243774414
NO2_i_dfwd,2918153.1795654297
PRES_i_o1,2858434.7670898438
NO2_i_rm12,2787988.219848633
SO2_i_o-2,2775346.7993164062
wv_i_o0,2750426.811401367
CO_i_d1,2687188.440673828
NO2_i_o2,2659513.299682617
hr_sin,2636093.694946289
NO2_i_rs12,2622072.6208496094
TEMP_i_o-2,2605045.596801758
TEMP_i_o-3,2581601.167236328
NO2_i_o1,2574568.9161376953
O3_i_o-4,2462426.1005859375
vent,2302444.5025634766
anom_O3_i,2241414.3807373047
TEMP_i_rm6,2210874.186767578
wv_i_o-3,2193325.360229492
NO2_i_o-1,2193130.230834961
O3_i_o-2,2168498.68359375
ratio_O3_i,2148774.2849121094
NO2_i_rm6,2123923.7774658203
SO2_i_d1,1969632.8469238281
SO2_i_o-3,1950787.4208984375
CO_i_o2,1918673.960571289
PRES_i_o0,1839435.146850586
TEMP_i_dfwd,1815063.8005371094
net_SO2_i_d1,1802676.0224609375
NO2_i_d3,1650156.5145263672
WSPM_i_vs_rm24,1614443.2709960938
hr_cos,1542836.2197265625
NO2_i_d1,1380686.1160888672
O3_i_o-3,1364827.0089111328
wv_i_o1,1302268.473022461
wv_i_o-4,1289443.5733642578
net_NO2_i_d1,1193528.9333496094
wu_i_o-4,1142793.234008789
wv_i_o2,1133119.34765625
NO2_i_o-2,952462.5936279297
n_missing_h,912610.2585449219
DEWP_i_dfwd,907692.0463867188
wu_i_o2,900018.7141113281
wu_i_o-3,890918.2912597656
O3_i_d1,876625.0985107422
wu_i_o-2,801774.8195800781
NO2_i_o-4,780503.6817626953
wu_i_o1,734473.2189941406
wu_i_o0,711758.6492919922
O3_i_dfwd,692083.4178466797
NO2_i_o-3,666292.2080078125
WSPM_i_o2,659348.9879150391
TEMP_i_d1,654500.556640625
wu_i_o-1,647054.0417480469
