,0
raw_PM10,4422592423.017822
PM10_i_o0,3198406440.7319336
PM10_i_o-1,1256368648.2817383
PM10_i_rm6,961819237.9545898
net_PM10_i,758740280.6828613
net_CO_i,712451917.8666992
CO_i_o0,350602951.08203125
CO_i_rmin12,226601090.75341797
CO_i_o-1,153841557.80859375
PM10_i_o1,147209847.0859375
st_CO_i_Changping,104379654.3815918
raw_CO,97830248.99853516
st_CO_i_Nongzhanguan,87030773.55102539
PM10_i_o-2,85533860.77172852
st_PM10_i_Guanyuan,83901123.81176758
st_CO_i_Dingling,67188502.01123047
CO_i_rm6,64407046.9934082
WSPM_i_rs48,59509917.07080078
st_CO_i_Huairou,58218235.09375
dewp_depress_net,50543291.43310547
net_CO_min,48569351.17675781
doy_cos,46907128.283447266
net_CO_max,46761054.87988281
net_PM10_rm12,45146891.5324707
doy_sin,42637952.31762695
month,35395564.46875
st_PM10_i_Dongsi,34464947.62988281
net_PM10_min,33765060.01977539
station,33316610.10961914
DEWP_i_rs48,31750873.899169922
TEMP_i_rs48,31640040.111328125
net_PM10_rm24,31305900.92211914
dewp_depress,29286053.358642578
rh_proxy,27355159.675048828
PM10_i_rmin12,26915146.52319336
PM10_over_CO,26550006.798095703
DEWP_i_rmin12,24802498.69165039
CO_i_rm48,24176423.026367188
CO_i_rm12,22468215.30834961
TEMP_i_rm48,21589004.91430664
st_CO_i_Tiantan,20215146.49658203
CO_i_rm24,19444089.41430664
CO_i_o1,19149024.890625
anom_PM10_i,18381288.38232422
st_PM10_i_Tiantan,17690687.87548828
st_CO_i_Dongsi,16904338.505126953
DEWP_i_o-2,16431518.43774414
DEWP_i_rs12,14244983.155761719
st_PM10_i_Huairou,13852860.46875
CO_i_o-2,13850807.238769531
DEWP_i_o-4,13347497.09765625
DEWP_i_o-3,12557993.537109375
net_SO2_i,12510122.638427734
st_PM10_i_Dingling,11755053.43359375
net_DEWP_i_d6,11724052.432128906
TEMP_i_rm24,11197120.416015625
st_CO_i_Guanyuan,11020592.696533203
st_PM10_i_Aotizhongxin,11015534.318359375
NO2_over_CO,10868190.291015625
WSPM_i_rm48,10238965.306396484
st_NO2_i_Wanliu,9882404.484863281
st_CO_i_Wanliu,9550052.869384766
ratio_PM10_i,9194604.604736328
DEWP_i_o-6,8979308.139648438
DEWP_i_rm12,8133359.083984375
net_DEWP_i,7993510.511474609
PM10_i_rs48,7705641.587646484
DEWP_i_d3,7556448.759033203
st_CO_i_Wanshouxigong,7481304.546630859
st_CO_i_Shunyi,7199611.2587890625
PM10_i_vs_rm48,7109945.016113281
net_PRES_i,6864512.50390625
DEWP_i_o-1,6828500.382080078
st_CO_i_Aotizhongxin,6822678.427734375
DEWP_i_rm6,6678038.430175781
O3_i_rs48,6544041.227050781
DEWP_i_o-8,6468763.526855469
net_O3_i,6233387.217285156
O3_i_rmax12,6162600.996582031
st_NO2_i_Dingling,6149495.263671875
raw_DEWP,5990573.000244141
PRES_i_o-4,5951742.401855469
SO2_i_o0,5901789.2236328125
DEWP_i_rm24,5850181.677001953
anom_CO_i,5792439.241699219
PM10_i_vs_rm24,5750368.222412109
PRES_i_o-8,5745509.395751953
st_NO2_i_Dongsi,5638641.461669922
st_PM10_i_Shunyi,5630690.491455078
PM10_i_rm48,5519539.251708984
SO2_i_rm24,5482567.902832031
TEMP_i_rmax12,5417679.983154297
SO2_i_rm48,5306223.2451171875
net_O3_i_d6,5286683.1240234375
SO2_i_rmin12,4995127.224121094
raw_SO2,4988901.511230469
DEWP_i_rm48,4898582.846435547
net_PM10_std,4780567.908447266
DEWP_i_vs_rm48,4694133.880371094
NO2_i_rs48,4657847.404541016
st_NO2_i_Aotizhongxin,4638632.071777344
TEMP_i_o-8,4620357.798339844
WSPM_i_rm24,4612075.295654297
CO_i_rs48,4544383.01953125
PM10_i_rmax12,4473394.800292969
PRES_i_o-6,4311230.920166016
TEMP_i_vs_rm48,4308653.786376953
DEWP_i_vs_rm24,4277249.778076172
PM10_i_d1,4274488.275390625
PM10_i_rm24,4254646.467285156
TEMP_i_vs_rm24,4182574.5419921875
st_PM10_i_Wanshouxigong,4134780.359375
SO2_i_rmax12,4007352.126220703
st_NO2_i_Guanyuan,3920717.557373047
O3_i_rmin12,3917121.7387695312
CO_i_o-4,3801737.147216797
TEMP_i_o-4,3798309.1518554688
PM10_i_dfwd,3778466.628173828
TEMP_i_o3,3709528.8540039062
NO2_i_rm48,3666261.8129882812
net_PRES_i_d6,3607340.2211914062
DEWP_i_rmax12,3559830.2619628906
st_NO2_i_Shunyi,3492077.0190429688
st_CO_i_Gucheng,3485477.587890625
SO2_i_rs48,3400285.2250976562
raw_PRES,3267021.2114257812
NO2_i_rmax12,3216929.0314941406
ratio_CO_i,3186533.58203125
TEMP_i_o-6,3166354.2890625
dow,3131048.98828125
PRES_i_o-3,3077616.5251464844
raw_O3,3065781.8657226562
TEMP_i_rm12,3057234.2263183594
O3_i_rm48,3012417.4609375
anom_NO2_i,2970230.0874023438
net_PM10_max,2940286.6291503906
PM10_i_d8,2827123.214111328
ratio_NO2_i,2813400.6755371094
PM10_i_rs12,2787646.1118164062
TEMP_i_o1,2760964.3784179688
O3_i_d3,2715629.0986328125
net_DEWP_i_d1,2673940.8537597656
PM10_i_d3,2665683.526611328
SO2_i_rm12,2499718.7900390625
DEWP_i_o3,2468758.8806152344
DEWP_i_o0,2413545.3984375
net_NO2_i,2358449.7033691406
PM10_i_dfwd3,2346251.4189453125
TEMP_i_rmin12,2322966.6577148438
CO_i_vs_rm48,2322588.3754882812
DEWP_i_o2,2303855.6245117188
SO2_i_d8,2250385.843017578
O3_i_rm6,2229599.0981445312
O3_i_rm12,2219897.3251953125
st_PM10_i_Changping,2202322.372314453
DEWP_i_o1,2176732.6459960938
O3_i_rm24,2176221.0009765625
NO2_i_rmin12,2112799.112060547
net_PM10_i_d6,2081324.263671875
net_O3_i_d1,2048832.3940429688
net_TEMP_i_d6,2034910.9750976562
st_NO2_i_Gucheng,2017201.0458984375
WSPM_i_rmax12,1976337.90234375
st_NO2_i_Wanshouxigong,1971500.5532226562
st_NO2_i_Huairou,1951189.6159667969
wv_i_o-2,1917103.9138183594
NO2_i_rm24,1906832.1411132812
O3_i_rs12,1902999.9658203125
st_PM10_i_Nongzhanguan,1897379.3745117188
PRES_i_o-2,1896685.8828125
O3_i_o-1,1890290.6608886719
PRES_i_d3,1881831.2568359375
WSPM_i_rm6,1841632.7219238281
raw_NO2,1826630.546875
net_CO_i_d6,1738679.4418945312
net_PM10_i_d1,1727185.2568359375
CO_i_vs_rm24,1727061.4916992188
NO2_i_vs_rm48,1724107.2412109375
CO_i_d3,1717589.3984375
net_WSPM_i,1702041.71875
PM10_i_rm12,1676541.0844726562
raw_TEMP,1572496.6247558594
CO_i_dfwd3,1570189.34375
SO2_i_vs_rm48,1548856.2155761719
PRES_i_o3,1536553.0815429688
PRES_i_o2,1526002.458984375
O3_over_NO2,1517016.9919433594
st_NO2_i_Tiantan,1511279.3923339844
st_NO2_i_Nongzhanguan,1510965.1130371094
st_PM10_i_Gucheng,1426284.2644042969
DEWP_i_d1,1423915.0571289062
TEMP_i_d3,1417179.2373046875
st_NO2_i_Changping,1386875.2446289062
NO2_i_o0,1375993.1376953125
CO_i_o-6,1345972.1572265625
O3_i_o-4,1331591.9345703125
hour,1330768.2448730469
net_NO2_i_d6,1317579.5874023438
